team_id,opp_team_id,game_id,game_dt,result,team_goals,opp_goals,points_earned,result_60,team_goals_60,opp_goals_60,points_earned_60,result_75,team_goals_75,opp_goals_75,points_earned_75
ARS,NEW,9,2019-08-11T08:00:00Z,W,1,0,3,W,1,0,3,W,1,0,3
ARS,BUR,11,2019-08-17T06:30:00Z,W,2,1,3,D,1,1,1,W,2,1,3
ARS,LIV,27,2019-08-24T11:30:00Z,L,1,3,0,L,0,3,0,L,0,3,0
ARS,TOT,40,2019-09-01T10:30:00Z,D,2,2,1,L,1,2,0,D,2,2,1
ARS,WAT,49,2019-09-15T10:30:00Z,D,2,2,1,W,2,1,3,W,2,1,3
ARS,AVL,59,2019-09-22T10:30:00Z,W,3,2,3,L,1,2,0,L,1,2,0
ARS,MU,70,2019-09-30T14:00:00Z,D,1,1,1,D,1,1,1,D,1,1,1
ARS,BOU,77,2019-10-06T08:00:00Z,W,1,0,3,W,1,0,3,W,1,0,3
ARS,SHU,90,2019-10-21T14:00:00Z,L,0,1,0,L,0,1,0,L,0,1,0
ARS,CP,98,2019-10-27T11:30:00Z,D,2,2,1,D,2,2,1,D,2,2,1
ARS,WOL,102,2019-11-02T10:00:00Z,D,1,1,1,W,1,0,3,W,1,0,3
ARS,LC,117,2019-11-09T11:30:00Z,L,0,2,0,D,0,0,1,L,0,2,0
ARS,SOU,123,2019-11-23T09:00:00Z,D,2,2,1,D,1,1,1,L,1,2,0
ARS,NOR,137,2019-12-01T08:00:00Z,D,2,2,1,D,2,2,1,D,2,2,1
ARS,BHA,150,2019-12-05T14:15:00Z,L,1,2,0,D,1,1,1,D,1,1,1
ARS,WHU,160,2019-12-09T14:00:00Z,W,3,1,3,D,1,1,1,W,3,1,3
ARS,MC,169,2019-12-15T10:30:00Z,L,0,3,0,L,0,3,0,L,0,3,0
ARS,EVE,171,2019-12-21T06:30:00Z,D,0,0,1,D,0,0,1,D,0,0,1
ARS,BOU,181,2019-12-26T09:00:00Z,D,1,1,1,L,0,1,0,D,1,1,1
ARS,CHE,197,2019-12-29T08:00:00Z,L,1,2,0,W,1,0,3,W,1,0,3
ARS,MU,208,2020-01-01T14:00:00Z,W,2,0,3,W,2,0,3,W,2,0,3
ARS,CP,211,2020-01-11T06:30:00Z,D,1,1,1,D,1,1,1,D,1,1,1
ARS,SHU,221,2020-01-18T09:00:00Z,D,1,1,1,W,1,0,3,W,1,0,3
ARS,CHE,235,2020-01-21T14:15:00Z,D,2,2,1,L,0,1,0,D,1,1,1
ARS,BUR,249,2020-02-02T08:00:00Z,D,0,0,1,D,0,0,1,D,0,0,1
ARS,NEW,258,2020-02-16T10:30:00Z,W,4,0,3,W,2,0,3,W,2,0,3
ARS,EVE,269,2020-02-23T10:30:00Z,W,3,2,3,W,3,2,3,W,3,2,3
ARS,WHU,280,2020-03-07T09:00:00Z,W,1,0,3,D,0,0,1,D,0,0,1
AVL,TOT,7,2019-08-10T11:30:00Z,L,1,3,0,W,1,0,3,D,1,1,1
AVL,BOU,12,2019-08-17T09:00:00Z,L,1,2,0,L,0,2,0,L,1,2,0
